,video_id,comments
33,3nP4zjAPANI,"['Bhi mujadina', 'Happy Prince Sar Limited meri ID mein keh dena Rajasthan se bhi theek Lage Loom Rajasthani kuch bhi na mere sas ke', ""Bhai apka Dil bada he Lekin apka YouTube channel usse bhi bada he pls mujhe dedo gift I'd 3419842761 ye he pls dedo ok plssssssssssss"", 'Helo prince bhai mujhko daimon dedo plis', 'mujhe bhi chahiye daymand please', 'Please happy prince support karo 🥰', 'Happy Prince bhai Hip Hop mandal dila do mujhe naukari karte Hain', '😭😭😭😭😭😭😭😭😭😭💎💎💎💎💎💎💎💎9000', 'hello prince bhai pramote my chainal link of my chainal https://youtube.com/@Cs.Monster-2.0_', 'Nise video ❤️❤️❤️❤️❤️']"
34,q0Pg7nPSWAA,"['Please support me 🙏😭', 'Nob', '1v1', 'Meri u id3616829131', 'https://youtu.be/qcakE3Jict8', 'Mia kalafa', 'Please', 'Please', 'Please', 'Please mere sath uid 2306391187']"
35,7slY5qYfFSc,"['Please support me 😭😭', 'Opp happy  prince', 'Meri U id3616829131', 'Thanks for revel face', 'happy pills big fan bro', 'happy pills big fan bro', 'happy pills big fan bro', '5530352716=please bhi please', 'Op', 'please mere sahta khelo please 😭😭😭🙏 2675093653']"
36,0gsL2h1Zt4A,"['7', '11000000', 'GF 11', '10', '8', '1 rhi saali ki Shadi ho gayi gaand jal gayi bahencho \ndimag ki aesi ki tesi', 'bro kya video banate', 'Bhi mare to ha 1 GF aur app ki kitne haa', '1 ha bhai', 'Mera 2']"
37,46gDaF4pus8,"['Fun fact: Enemy is also watching this video 😂😂😂', 'Mai to tere ko devmanus samjhta tha lekin tu to harami nikla re 😂🤣🤣😜😜😜🤪🤪', 'जो जो अपने माता पिता से प्यार करता है वही सब्सक्राइब करें\n\nhttps://youtu.be/orbEOWySBdk', 'Bot', 'Happy prince  pro', 'Alok', 'Alok', 'Luna', '𝙰𝙳𝙸𝚃𝙸𝙽𝙶 𝙽𝙴𝚇𝚃 𝚕𝚎𝚟𝚎𝚕', 'Alok dada']"
38,UT9InLVwTQk,"['Bhai meri આઇડી me topap karke dona plish', 'Op bhai', 'Op', '1242888661', 'Bhai please mere Id me top up kardo uid 2830988428', 'plese Bhai mujhe daimand de do', 'No', 'I love happy prince', 'bro please Mere ID Mein top up kar do na please Bhai Main Garib hun Bhai Main Apni ID bhai please. id Abhay1+', 'Thanks for revel face']"
39,VgeeUF7OkFk,"['You  big  funny    bro😃😃😂', 'Plzze  Riply😢😢😢♥️♥️', 'I love  you  happy  prince  bro♥️♥️♥️  .and   very  funny', 'PSI', 'Thank you ☺️☺️', 'You', 'Bhai jazz de do na bhai', 'Your pat is cat', 'Thanks for revel face', '😍😍😍😍😍😍😍']"
40,Hn715X-Zkas,"['Download Stan now:- https://getstan.page.link/HAPPY-PRINCE-GAMING-ET-Launch-YT', 'Face ke sat video lou', 'Fun fact : he use kitty pet 😂', 'Gandama happy prinche', '5:17 so funny 😂😂🤣🤣', 'Really so funny 😂🤣🤣🤣', '1:42 so funny 😂😂😂🤣🤣fuck', 'So funny 😂', 'Plz old memories Gyan bhai raistar happy prince plz', 'Hello bhai humko top kar do na bhai big fan bhai Happy Prince bhai']"
41,uxD4t89LvwM,"['Face revel hona wala hai to ham kiya kare..🙄', 'Legends waiting for total gaming 😉 😂😂', 'Ap bohot cute ho🍫🌎', 'patti show', '😂', 'Bai aap kon  ho', 'I love you but public only support you mere ko to koi subscribe hi nahi karta', 'bhai.aqka.real.name.honey.singh.hai', '♥️🌚', 'Sasta face reveal']"
42,po2frpiGjQg,"['Prince bhai op bolte Plz pin my comment', 'Gajab sa mara name rajab', 'Happy Prince by tumhara face reveal dekh ke mujhe bahut Achcha', 'Mera 3diamond me nikal gya tha 🙂☺😄', '9112821788 पासवर्ड यह है वह नंबर', '9730298446', 'हैप्पी प्रिंस मैं आपका बहुत बड़ा फैन प्लीज सेट द प्रिंस भाई मेरी आईडी में टॉप ऑफ कर दो मेरी आईडी प्रूफ नौकरी है मैं आपको मेरा आईडी का नंबर पासवर्ड भेज रहा हूं', 'aapka face to bahut hi achha hai sound ke sath top 1', 'Mera account mein top Karke do', 'op']"
